date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:34	36039/36039	---MCZ	200	added ('OK')	text/html	etag:W/%2262715e03-8cc7%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html	(from )
16:35:35	65/65	---M--	200	added ('OK')	text/plain	etag:%2262713da7-41%22	https://eepowiralpwq032.ga/robots.txt		(from )
16:35:35	161409/161409	---M-Z	200	added ('OK')	text/css	etag:W/%2227681-LKxK/BIJg5IUESlr1Oj9ipS6I34%22	https://cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/microsoft%20virus%20scan/cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:35	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14983%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/My%20Web%20Sites/microsoft%20virus%20scan/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:35	12097/12097	---MCZ	200	added ('OK')	text/css	etag:W/%2262715e03-2f41%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/main.css	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/main.css	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:36	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/microsoft%20virus%20scan/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:36	8405/8405	---M--	200	added ('OK')	audio/mpeg	etag:%2262715e03-20d5%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/0wa0rni0ng0.mp3	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/0wa0rni0ng0.mp3	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:36	838375/838375	---M--	200	added ('OK')	image/png	etag:%2262715e03-ccae7%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/background.png	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/background.png	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:36	2247/2247	---M--	200	added ('OK')	image/jpeg	etag:%2262715e03-8c7%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/minimize.jpeg	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/minimize.jpg	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:36	1045/1045	---M--	200	added ('OK')	image/png	etag:%2262715e03-415%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/microsoft.png	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/microsoft.png	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:37	364/364	---M--	200	added ('OK')	image/png	etag:%2262715e03-16c%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/setting.png	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/setting.png	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:37	349/349	---M--	200	added ('OK')	image/png	etag:%2262715e03-15d%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/que.png	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/que.png	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:37	25871/25871	---M--	200	added ('OK')	image/png	etag:%2262715e03-650f%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/virus-scan.png	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/virus-scan.png	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
16:35:37	1108/1108	---M--	200	added ('OK')	image/png	etag:%2262715e03-454%22	https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/bell.png	C:/My%20Web%20Sites/microsoft%20virus%20scan/eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/bell.png	(from https://eepowiralpwq032.ga/Call-Security-Helpline-for-resolve-issues0x1/helpCH0Er0/index.html)
